"DTI_CL_ANO","Year","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2006","2006","T065027","Copper sulfate",5124,,
"2006","2006","T065028","Sodium sulfate",100,,
"2006","2006","T065029","Talc",704,,
"2006","2006","T065031","Plaster",845331,,
"2006","2006","T065032","Iodine",16494,,
"2006","2006","T065033","Zeolites",280,,
"2007","2007","T065009","Clays",186675,,
"2007","2007","T065010","Baryte",77,,
"2007","2007","T065011","Calcium Carbonate",7196471,,
"2007","2007","T065012","Sodium chloride",4403743,,
"2007","2007","T065013","Sulfur compounds",4570707,,
"2007","2007","T065014","Boron compounds",535071,,
"2007","2007","T065015","Lithium compounds",59637,,
"2007","2007","T065016","Potassium compounds",846545,,
"2007","2007","T065017","Diatomite",25405,,
"2007","2007","T065018","Dolomite",13791,,
"2007","2007","T065019","Feldspar",6704,,
"2007","2007","T065020","Nitrates",1160384,,
"2007","2007","T065022","Pyrophyllite",1340,,
"2007","2007","T065023","Pumicite",1135771,,
"2007","2007","T065024","Silicon resources",1233535,,
"2007","2007","T065025","Phosphoric rocks",25073,,
"2007","2007","T065026","Ornamental rocks",15081,,
"2007","2007","T065027","Copper sulfate",10217,,
"2007","2007","T065028","Sodium sulfate",100,,
"2007","2007","T065029","Talc",764,,
"2007","2007","T065031","Plaster",773119,,
"2007","2007","T065032","Iodine",15473,,
"2007","2007","T065033","Zeolites",140,,
"2008","2008","T065009","Clays",146745,,
"2008","2008","T065011","Calcium Carbonate",7295462,,
"2008","2008","T065012","Sodium chloride",6431029,,
"2008","2008","T065013","Sulfur compounds",4722996,,
"2008","2008","T065014","Boron compounds",590999,,
"2008","2008","T065015","Lithium compounds",56881,,
"2008","2008","T065016","Potassium compounds",917091,,
"2008","2008","T065017","Diatomite",25497,,
"2008","2008","T065018","Dolomite",14263,,
"2008","2008","T065019","Feldspar",17834,,
"2008","2008","T065020","Nitrates",1157582,,
"2008","2008","T065022","Pyrophyllite",1147,,
"2008","2008","T065023","Pumicite",1063176,,
"2008","2008","T065024","Silicon resources",1400766,,
"2008","2008","T065025","Phosphoric rocks",41186,,
"2008","2008","T065026","Ornamental rocks",11605,,
"2008","2008","T065027","Copper sulfate",12971,,
"2008","2008","T065028","Sodium sulfate",128,,
"2008","2008","T065029","Talc",961,,
"2008","2008","T065031","Plaster",773794,,
"2008","2008","T065032","Iodine",15503,,
"2009","2009","T065009","Clays",124064,,
"2009","2009","T065011","Calcium Carbonate",6011665,,
"2009","2009","T065012","Sodium chloride",8382215,,
"2009","2009","T065013","Sulfur compounds",4895207,,
"2009","2009","T065014","Boron compounds",613135,,
"2009","2009","T065015","Lithium compounds",30538,,
"2009","2009","T065016","Potassium compounds",1130952,,
"2009","2009","T065017","Diatomite",23027,,
"2009","2009","T065019","Feldspar",9079,,
"2009","2009","T065020","Nitrates",1048706,,
"2009","2009","T065022","Pyrophyllite",412,,
"2009","2009","T065023","Pumicite",919249,,
"2009","2009","T065024","Silicon resources",1404521,,
"2009","2009","T065025","Phosphoric rocks",13292,,
"2009","2009","T065026","Ornamental rocks",7270,,
"2009","2009","T065027","Copper sulfate",11860,,
"2009","2009","T065028","Sodium sulfate",112,,
"2009","2009","T065029","Talc",790,,
"2009","2009","T065030","Peat",768,,
"2009","2009","T065031","Plaster",723928,,
"2009","2009","T065032","Iodine",17399,,
"2019","2019","T065009","Clays",62353,,
"2019","2019","T065011","Calcium Carbonate",4864005,,
"2019","2019","T065012","Sodium chloride",10476823,,
"2019","2019","T065013","Sulfur compounds",3862750,,
"2019","2019","T065014","Boron compounds",352255,,
"2019","2019","T065015","Lithium compounds",112607,,
"2019","2019","T065016","Potassium compounds",1082059,,
"2019","2019","T065017","Diatomite",21328,,
"2019","2019","T065018","Dolomite",0,,
"2019","2019","T065019","Feldspar",55,,
"2019","2019","T065020","Nitrates",867585,,
"2019","2019","T065021","Perlite",4700,,
"2019","2019","T065023","Pumicite",680771,,
"2019","2019","T065024","Silicon resources",1290789,,
"2019","2019","T065025","Phosphoric rocks",3405,,
"2019","2019","T065026","Ornamental rocks",3623,,
"2019","2019","T065027","Copper sulfate",8058,,
"2019","2019","T065029","Talc",0,,
"2019","2019","T065030","Peat",1851,,
"2019","2019","T065031","Plaster",977397,,
"2019","2019","T065032","Iodine",20826,,
"2019","2019","T065033","Zeolites",253,,
